x,experiment,tree_ID,spec,drought_timing,block,rep,treatment,drought_start_doy,dendrometer,dendro_start_doy,dendro_end_doy,species_lat,species_en,genus,family,drought_tolerance,drought_index,wood_anatomy,deciduousness,diameter_1_init,diameter_2_init,diameter_3_init,height_1_init,height_2_init,height_3_init,,,diameter_1GS,height_1_corr,diameter_2GS,notes,height_1GS,height1G2,notes_height,SAM_status,doy_stage_1,doy_stage_2,doy_stage_3,doy_stage_4,shoot_height_date,shoot_height_date,photo_max_date,photo_max_date,biomass_root,biomass_old_shoot,biomass_new_shoot,biomass_adventitious_shoots,number_adventitious_shoots,status,,,,,,,
1,drought,Pico_Dro3_B3_R14,Pico,Dro3,3,14,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.4,,,28.5,,,,,11.3,,,,42.5,,,,132,135,,,,,,,13.6,14.4,4.0,0.0,0.0,,,,,,,,
2,drought,Pico_Dro3_B3_R15,Pico,Dro3,3,15,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,6.7,,,24.5,,,,,10.2,,,,38,,,,132,135,,,,,,,12.0,7.1,4.3,0.0,0.0,,,,,,,,
1,drought,Pico_Dro4_B1_R1,Pico,Dro4,1,1,drought_4,doy jul,mag_den,Jul,Aug,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8,,,23.5,,,,,10.1,,,,49,,,,132,,,,,,,,11.3,5.5,5.0,0.0,0.0,,,,,,,,
2,drought,Pico_Dro4_B1_R2,Pico,Dro4,1,2,drought_4,doy jul,mag_den,Jul,Aug,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.7,,,27.5,,,,,10.4,,,,48,,,,,132,,,,,,,10.5,11.5,5.2,0.0,0.0,,,,,,,,
1,drought,Pico_Dro4_B1_R3,Pico,Dro4,1,3,drought_4,doy jul,mag_den,Jul,Aug,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.1,,,37,,,,,10.3,,,,44,,,,132,135,,,,,,,17.6,11.2,4.4,0.0,0.0,,,,,,,,
2,drought,Pico_Dro4_B1_R4,Pico,Dro4,1,4,drought_4,doy jul,mag_den,Jul,Aug,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.6,,,29.5,,,,,10.4,,,,41.5,,,,132,,,,,,,,15.1,9.6,4.9,0.0,0.0,,,,,,,,
1,drought,Pico_Dro4_B1_R5,Pico,Dro4,1,5,drought_4,doy jul,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7,,,22,,,,,9.1,,,,34,,,,132,135,,,,,,,9.0,7.2,2.7,0.0,0.0,,,,,,,,
2,drought,Pico_Dro4_B2_R6,Pico,Dro4,2,6,drought_4,doy jul,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.5,,,28,,,,,10.6,,,,48,,from highest side,,132,135,,,,,,,17.6,7.9,5.9,0.0,0.0,,,,,,,,
1,drought,Pico_Dro4_B2_R7,Pico,Dro4,2,7,drought_4,doy jul,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,5.9,,,18,,,,,8.7,,,,33.5,,,,132,135,,,,,,,8.1,3.1,3.6,0.0,0.0,,,,,,,,
2,drought,Pico_Dro4_B2_R8,Pico,Dro4,2,8,drought_4,doy jul,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,6.9,,,24,,,,,9.8,,,,34,,"SAM dead, highest side measured",,132,135,,,,,,,10.7,7.3,4.7,0.0,0.0,,,,,,,,
