"","species","trmt","a","ase","b","bse","c","cse","per10mean","per10se","per50mean","per50se","per90mean","per90se","type"
"22","Bepa","Con",12.6549716162534,0.90720280605184,264.584480206594,15.0630568134642,-1.61389202017793,3.64955341856382,268.130563418496,22.5731098706662,264.584480206594,15.0630568134642,261.038396994692,8.53529240323886,"A"
"23","Bepa","Con",14.5776391807102,4.46172542107172,244.799153047762,13.8968958921671,-26.8569720351241,21.3109966240051,303.809952076168,41.4759643903519,244.799153047762,13.8968958921671,185.788354019355,55.2373206287755,"CCI"
"24","Bepa","Con",159.018259159739,59.5210279947296,266.189252087931,4.7511035202061,-9.56738770918182,1.45450596561898,287.21095150345,3.86538252193993,266.189252087931,4.7511035202061,245.167552672412,7.11561925344253,"Percentage"
"25","Bepa","con_heat",8.69203426681608,0.475569945034068,292.052488713888,25.4932616633605,-17.0279470316122,13.2965834925824,329.466712433325,53.3594187838549,292.052488713888,25.4932616633605,254.63826499445,12.6366705344448,"CCI"
"26","Bepa","con_heat",80.1980152608367,2.20989397172412,285.086008939201,1.9074686562493,-6.01430215687631,0.67426303235097,298.300781453816,1.67480104521964,285.086008939201,1.9074686562493,271.871236424586,2.97685112243554,"Percentage"
"27","Bepa","defol1",16.6240622270876,1.06026731941671,297.04632475707,3.28995068061557,-18.1299130155445,4.39239991913044,336.881815219792,9.888431379337,297.04632475707,3.28995068061557,257.210834294347,10.4954045059727,"CCI"
"28","Bepa","defol1",61.0029769510994,4.38136584164866,293.609598353617,1.42664837663265,-4.56581259247859,0.361285155920048,303.641713997322,1.87911669517693,293.609598353617,1.42664837663265,283.577482709911,1.34159855932664,"Percentage"
"29","Bepa","defol2",17.5839800580843,4.34623694998809,258.008591909897,42.7102171835581,-38.6063364225433,23.8258791715017,342.83538313842,13.8184625166264,258.008591909897,42.7102171835581,173.181800681375,94.5441137549772,"CCI"
"30","Bepa","defol2",57.2673137406849,3.5655955638577,293.257528285936,1.56823928920398,-3.25848883606015,0.298910251042398,300.417160041504,1.67355001289521,293.257528285936,1.56823928920398,286.097896530369,1.72646480024039,"Percentage"
"31","Bepa","Dro1",15.7226481874124,2.64959278375019,307.00679708151,14.0852313768791,-27.483058700841,8.39094169596334,367.393249119372,12.5743390196481,307.00679708151,14.0852313768791,246.620345043649,30.3068217168575,"CCI"
