"","species","treatment","id","a","b","c","type","per10","per50","per90"
"128","Prvi","Dro3","Prvi_Dro3_B1_R3",4.38549463611027,277.439846767562,-3.59339199529412,"CCI",285.335335975626,277.439846767562,269.544357559499
"129","Prvi","Dro3","Prvi_Dro3_B1_R4",3.36089036339445,275.594233169143,-2.87637962449975,"CCI",281.914285173843,275.594233169143,269.274181164444
"130","Prvi","defol1","Prvi_defol1_B2_R6",10.4413493306244,277.726794923123,-4.24814748714382,"CCI",287.060928990024,277.726794923123,268.392660856221
"131","Prvi","defol1","Prvi_defol1_B2_R9",14.6444538808066,299.818997683249,-13.7712313073244,"CCI",330.077485571885,299.818997683249,269.560509794614
"132","Prvi","defol1","Prvi_defol1_B3_R11",17.1201060452824,274.891443304358,-2.67614357909127,"CCI",280.771531748818,274.891443304358,269.011354859898
"133","Prvi","defol1","Prvi_defol1_B3_R13",9.01600794570079,274.971656551088,-2.41537962738053,"CCI",280.278788031966,274.971656551088,269.66452507021
"134","Prvi","defol1","Prvi_defol1_B3_R14",10.6677688196631,276.743615072635,-2.45295987141483,"CCI",282.133318789328,276.743615072635,271.353911355943
"135","Prvi","defol1","Prvi_defol1_B3_R15",13.7298997547107,273.323905168368,-3.97194209210893,"CCI",282.051153952906,273.323905168368,264.59665638383
"136","Prvi","defol1","Prvi_defol1_B1_R1",17.3743930963054,285.954636795109,-4.31212150537404,"CCI",295.429336147177,285.954636795109,276.479937443041
"137","Prvi","defol1","Prvi_defol1_B1_R2",21.1050037953108,280.937581186987,-9.04899136227914,"CCI",300.82024740829,280.937581186987,261.054914965684
"138","Prvi","defol1","Prvi_defol1_B1_R3",9.25851235925141,273.54446975619,-3.84624939270697,"CCI",281.99554345241,273.54446975619,265.093396059969
"139","Prvi","defol1","Prvi_defol1_B1_R5",20.3428130771953,229.102132028377,7.44868016594673,"CCI",212.735708899042,229.102132028377,245.468555157712
"140","Prvi","GS_ext","Prvi_GS_ext_B2_R6",14.3589101786603,265.062747215755,-12.7527966598209,"CCI",293.083505466485,265.062747215755,237.041988965025
"141","Prvi","GS_ext","Prvi_GS_ext_B2_R9",15.6606404940449,236.238942232109,-46.3574408006436,"CCI",338.096650501692,236.238942232109,134.381233962526
"142","Prvi","GS_ext","Prvi_GS_ext_B3_R12",14.0351083663732,265.788895329037,-3.5024819918024,"CCI",273.484634843103,265.788895329037,258.093155814972
"143","Prvi","GS_ext","Prvi_GS_ext_B3_R14",14.8024252918655,278.668901067457,-5.18980245704378,"CCI",290.072062577593,278.668901067457,267.26573955732
"144","Prvi","GS_ext","Prvi_GS_ext_B3_R15",11.511291431216,269.454496469166,-7.14818429647104,"CCI",285.160662688701,269.454496469166,253.748330249631
"145","Prvi","GS_ext","Prvi_GS_ext_B1_R1",10.5156901880214,267.34613052462,-2.8428843214259,"CCI",273.592585826181,267.34613052462,261.09967522306
"146","Prvi","GS_ext","Prvi_GS_ext_B1_R3",9.6946483958638,271.670259630253,-5.39478515513315,"CCI",283.523814162561,271.670259630253,259.816705097946
"147","Prvi","GS_ext","Prvi_GS_ext_B1_R4",11.1249982851236,266.942023873681,-5.34422159974017,"CCI",278.684478919361,266.942023873681,255.199568828001
"148","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B2_R7",14.0219567754123,267.863850587876,-3.94792791506315,"CCI",276.538334832404,267.863850587876,259.189366343347
"149","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B2_R9",20.9348164085935,258.699740243367,-4.79538481568687,"CCI",269.236277618179,258.699740243367,248.163202868555
"150","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B2_R10",14.5611506524587,270.76905012783,-3.89765793654099,"CCI",279.333079940047,270.76905012783,262.205020315612
"151","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B3_R12",16.6258977916065,273.632366904393,-3.80423550038044,"CCI",281.991126643804,273.632366904393,265.273607164982
"152","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B3_R13",59.8142558781086,208.667180353052,-37.0158726596395,"CCI",289.99936551236,208.667180353052,127.334995193745
"153","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B3_R14",11.0928390163334,270.623950616479,-3.84383684131851,"CCI",279.069723395495,270.623950616479,262.178177837464
"154","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B1_R1",11.7673384352765,272.644048908625,-3.16824540310035,"CCI",279.60539557535,272.644048908625,265.682702241901
"155","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B1_R2",11.9021849272204,275.539439976398,-3.84948972916385,"CCI",283.99763341952,275.539439976398,267.081246533276
"156","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B1_R3",35.056910537668,238.723950162387,-12.6772999777402,"CCI",266.578825247742,238.723950162387,210.869075077033
"157","Prvi","GS_ext_heat","Prvi_GS_ext_heat_B1_R5",14.3312539009723,275.914869060063,-1.56872306541069,"CCI",279.361705934418,275.914869060063,272.468032185709
"158","Prvi","con_heat","Prvi_con_heat_B2_R6",11.1111360648368,263.196916335872,-8.61727939647829,"CCI",282.131014415587,263.196916335872,244.262818256157
"159","Prvi","con_heat","Prvi_con_heat_B2_R8",19.9852640320838,264.881094546252,-7.20993083766285,"CCI",280.722931783659,264.881094546252,249.039257308845
"160","Prvi","con_heat","Prvi_con_heat_B2_R10",26.2615419514023,270.685181120942,-8.72730341309374,"CCI",289.861026674061,270.685181120942,251.509335567822
"161","Prvi","con_heat","Prvi_con_heat_B3_R12",13.4322013056527,268.728170143812,-7.47746900717093,"CCI",285.157848822638,268.728170143812,252.298491464986
"162","Prvi","con_heat","Prvi_con_heat_B3_R15",17.6879570194388,272.564590148137,-8.84276120834959,"CCI",291.994122406638,272.564590148137,253.135057889636
"163","Prvi","con_heat","Prvi_con_heat_B1_R1",16.9854113187785,268.225611346278,-2.88080117464328,"CCI",274.555378489623,268.225611346278,261.895844202933
"164","Prvi","con_heat","Prvi_con_heat_B1_R2",11.8107703870621,265.438161542158,-19.2278452718769,"CCI",307.686055742744,265.438161542158,223.190267341572
"165","Prvi","con_heat","Prvi_con_heat_B1_R3",12.8980594919283,272.958654714418,-3.5818231200075,"CCI",280.828724505369,272.958654714418,265.088584923466
"166","Prvi","defol2","Prvi_defol2_B2_R6",16.6998510092104,271.299449312321,-15.9354264872389,"CCI",306.313160040417,271.299449312321,236.285738584225
"167","Prvi","defol2","Prvi_defol2_B2_R7",14.3246034954889,289.587130777574,-4.96721646775742,"CCI",300.50122088148,289.587130777574,278.673040673668
"168","Prvi","defol2","Prvi_defol2_B2_R9",12.4389758362855,274.138138442203,-10.8608278767895,"CCI",298.001816383303,274.138138442203,250.274460501103
"169","Prvi","defol2","Prvi_defol2_B2_R10",22.2304066196339,273.663607043035,-6.34775645654619,"CCI",287.611053540303,273.663607043035,259.716160545767
"170","Prvi","defol2","Prvi_defol2_B3_R11",18.6049462985613,277.765727653222,-4.48322635757752,"CCI",287.616382791853,277.765727653222,267.915072514591
"171","Prvi","defol2","Prvi_defol2_B3_R13",25.9286974365039,152.648906912466,41.1184792192964,"CCI",62.3023737891392,152.648906912466,242.995440035792
"172","Prvi","defol2","Prvi_defol2_B3_R14",20.0244087177532,285.013678137366,-8.60133017727975,"CCI",303.912732200668,285.013678137366,266.114624074063
"173","Acma","Con","Acma_Con_B1_R4",12.5965172393086,266.982408660541,-39.7018485870654,"CCI",354.216286141723,266.982408660541,179.74853117936
"174","Acma","Dro1","Acma_Dro1_B1_R1",34.5169165127971,276.815387219802,-8.99761232456723,"CCI",296.585162156684,276.815387219802,257.045612282919
"175","Acma","Dro1","Acma_Dro1_B1_R2",12.1446228067584,276.503362265223,-4.10630355453711,"CCI",285.525833357255,276.503362265223,267.480891173191
"176","Acma","Dro1","Acma_Dro1_B1_R3",17.2554567083442,286.838712082204,-14.3597429069112,"CCI",318.390292121498,286.838712082204,255.287132042909
"177","Acma","Dro2","Acma_Dro2_B1_R3",13.3071144570431,277.130959951527,-13.755654823321,"CCI",307.355222806682,277.130959951527,246.906697096373
"178","Acma","Dro2","Acma_Dro2_B1_R4",5.45057107957328,282.787350147716,-16.8315103967744,"CCI",319.769958465199,282.787350147716,245.804741830234
"179","Acma","Dro2","Acma_Dro2_B1_R5",7.45319779274521,279.716772169839,-12.9085142883486,"CCI",308.079677021094,279.716772169839,251.353867318583
"180","Acma","Dro3","Acma_Dro3_B1_R2",7.50123406853546,276.25945655572,-3.91256791618256,"CCI",284.856246941653,276.25945655572,267.662666169786
