#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
262,03-19-2023 05:55:10,1.520,,,,
263,03-19-2023 06:05:10,2.357,,,,
264,03-19-2023 06:15:10,2.839,,,,
265,03-19-2023 06:25:10,2.014,,,,
266,03-19-2023 06:35:10,1.606,,,,
267,03-19-2023 06:45:10,1.735,,,,
268,03-19-2023 06:55:10,3.108,,,,
269,03-19-2023 07:05:10,3.086,,,,
270,03-19-2023 07:15:10,2.421,,,,
271,03-19-2023 07:25:10,2.185,,,,
272,03-19-2023 07:35:10,3.172,,,,
273,03-19-2023 07:45:10,3.730,,,,
274,03-19-2023 07:55:10,2.839,,,,
275,03-19-2023 08:05:10,2.260,,,,
276,03-19-2023 08:15:10,2.410,,,,
277,03-19-2023 08:25:10,3.665,,,,
278,03-19-2023 08:35:10,3.268,,,,
279,03-19-2023 08:45:10,2.507,,,,
280,03-19-2023 08:55:10,2.357,,,,
281,03-19-2023 09:05:10,3.183,,,,
282,03-19-2023 09:15:10,3.590,,,,
283,03-19-2023 09:25:10,2.882,,,,
284,03-19-2023 09:35:10,2.346,,,,
285,03-19-2023 09:45:10,2.507,,,,
286,03-19-2023 09:55:10,3.676,,,,
287,03-19-2023 10:05:10,3.236,,,,
288,03-19-2023 10:15:10,2.507,,,,
289,03-19-2023 10:25:10,2.164,,,,
290,03-19-2023 10:35:10,3.268,,,,
291,03-19-2023 10:45:10,3.579,,,,
292,03-19-2023 10:55:10,2.947,,,,
293,03-19-2023 11:05:10,2.228,,,,
294,03-19-2023 11:15:10,2.475,,,,
295,03-19-2023 11:25:10,3.794,,,,
296,03-19-2023 11:35:10,3.258,,,,
297,03-19-2023 11:45:10,2.528,,,,
298,03-19-2023 11:55:10,2.249,,,,
299,03-19-2023 12:05:10,3.022,,,,
300,03-19-2023 12:15:10,3.547,,,,
301,03-19-2023 12:25:10,3.000,,,,
302,03-19-2023 12:35:10,2.325,,,,
303,03-19-2023 12:45:10,2.571,,,,
304,03-19-2023 12:55:10,3.837,,,,
305,03-19-2023 13:05:10,3.150,,,,
306,03-19-2023 13:15:10,2.528,,,,
307,03-19-2023 13:25:10,2.142,,,,
308,03-19-2023 13:35:10,3.429,,,,
309,03-19-2023 13:45:10,3.376,,,,
310,03-19-2023 13:55:10,2.914,,,,
311,03-19-2023 14:05:10,2.325,,,,
312,03-19-2023 14:15:10,2.603,,,,
313,03-19-2023 14:25:10,3.547,,,,
314,03-19-2023 14:35:10,3.322,,,,
315,03-19-2023 14:45:10,2.625,,,,
316,03-19-2023 14:55:10,2.346,,,,
317,03-19-2023 15:05:10,3.451,,,,
318,03-19-2023 15:15:10,3.472,,,,
319,03-19-2023 15:25:10,2.743,,,,
320,03-19-2023 15:35:10,2.099,,,,
321,03-19-2023 15:45:10,2.689,,,,
322,03-19-2023 15:55:10,3.794,,,,
323,03-19-2023 16:05:10,3.086,,,,
324,03-19-2023 16:15:10,2.432,,,,
325,03-19-2023 16:25:10,2.164,,,,
326,03-19-2023 16:35:10,3.108,,,,
327,03-19-2023 16:45:10,3.365,,,,
328,03-19-2023 16:55:10,2.882,,,,
329,03-19-2023 17:05:10,2.271,,,,
330,03-19-2023 17:15:10,2.818,,,,
331,03-19-2023 17:25:10,3.826,,,,
332,03-19-2023 17:35:10,3.086,,,,
333,03-19-2023 17:45:10,2.410,,,,
334,03-19-2023 17:55:10,2.056,,,,
335,03-19-2023 18:05:10,3.515,,,,
336,03-19-2023 18:15:10,3.461,,,,
337,03-19-2023 18:25:10,2.732,,,,
338,03-19-2023 18:35:10,2.282,,,,
339,03-19-2023 18:45:10,2.925,,,,
340,03-19-2023 18:55:10,3.461,,,,
341,03-19-2023 19:05:10,2.303,,,,
342,03-19-2023 19:15:10,1.778,,,,
343,03-19-2023 19:25:10,1.585,,,,
344,03-19-2023 19:35:10,2.775,,,,
345,03-19-2023 19:45:10,2.614,,,,
346,03-19-2023 19:55:10,1.853,,,,
347,03-19-2023 20:05:10,1.574,,,,
348,03-19-2023 20:15:10,2.239,,,,
349,03-19-2023 20:25:10,2.947,,,,
350,03-19-2023 20:35:10,2.132,,,,
351,03-19-2023 20:45:10,1.638,,,,
352,03-19-2023 20:55:10,1.563,,,,
353,03-19-2023 21:05:10,2.764,,,,
354,03-19-2023 21:15:10,2.550,,,,
355,03-19-2023 21:25:10,1.778,,,,
356,03-19-2023 21:35:10,1.509,,,,
357,03-19-2023 21:45:10,2.249,,,,
358,03-19-2023 21:55:10,2.893,,,,
359,03-19-2023 22:05:10,2.056,,,,
360,03-19-2023 22:15:10,1.606,,,,
361,03-19-2023 22:25:10,1.574,,,,
362,03-19-2023 22:35:10,2.807,,,,
363,03-19-2023 22:45:10,2.518,,,,
364,03-19-2023 22:55:10,1.745,,,,
365,03-19-2023 23:05:10,1.477,,,,
366,03-19-2023 23:15:10,2.282,,,,
367,03-19-2023 23:25:10,2.882,,,,
368,03-19-2023 23:35:10,1.938,,,,
369,03-19-2023 23:45:10,1.638,,,,
370,03-19-2023 23:55:10,1.638,,,,
371,03-20-2023 00:05:10,2.829,,,,
372,03-20-2023 00:15:10,2.475,,,,
